SKU,Main product,Name,Lu01 group,vis group,diff primary,diff sec,Produktfamilie,Category,Type
6614660,LED Driver for SmartPanal II,LED Driver for SmartPanel II 47W m/kabel,,,,,LED Panel Driver,Drivers,Product
3305855,LED Panel,LED Panel 1200/300 47W 3000K u/driver,,,,,LED Panel,Ceiling- and wall luminaire,Product
3305856,LED Panel,LED Panel 1200/300 47W 4000K u/driver,,,,,LED Panel,Ceiling- and wall luminaire,Product
3305857,LED Panel,LED Panel 600/600 40W 3000K m/driver,,,,,LED Panel,Ceiling- and wall luminaire,Product
3305858,LED Panel,LED Panel 600/600 40W 4000K m/driver,,,,,LED Panel,Ceiling- and wall luminaire,Product
3305852,LED Panel,LED Panel 600/600 47W 3000K u/driver,,,,,LED Panel,Ceiling- and wall luminaire,Product
3305853,LED Panel,LED Panel 600/600 47W 4000K u/driver,,,,,LED Panel,Ceiling- and wall luminaire,Product
3229321,LIMBO,Limbo 10W WarmDim Børstet stål,,,,,Limbo,Downlight,Product
3229320,LIMBO,Limbo 10W WarmDim Matt Hvit,,,,,Limbo,Downlight,Product
3229322,LIMBO,Limbo 10W WarmDim Matt Sort,,,,,Limbo,Downlight,Product
3229331,LIMBO Intergral,Limbo Integral 10W WarmDim Børstet stål,,,,,Limbo,Downlight,Product
3229330,LIMBO Intergral,Limbo Integral 10W WarmDim Matt Hvit,,,,,Limbo,Downlight,Product
3229332,LIMBO Intergral,Limbo Integral 10W WarmDim Matt Sort,,,,,Limbo,Downlight,Product
3229326,LIMBO Soft,Limbo Soft 10W WarmDim Børstet stål,,,,,Limbo,Downlight,Product
3229325,LIMBO Soft,Limbo Soft 10W WarmDim Matt Hvit,,,,,Limbo,Downlight,Product
3229327,LIMBO Soft,Limbo Soft 10W WarmDim Matt Sort,,,,,Limbo,Downlight,Product
3229510,LIMBO Soft,Limbo Soft 2700K Matt Hvit,,,,,Limbo,Downlight,Product
3229511,LIMBO Soft,Limbo Soft 3000K Matt Hvit,,,,,Limbo,Downlight,Product
1202710,LINECT,Linect 3-pol koblingsboks m/kabel,,,,,Linect,Drivers,Product
1202711,LINECT,Linect 5-pol koblingsboks m/kabel,,,,,Linect,Drivers,Product
3109796,LOLITE Round,Lolite Round 1x4W Hvit,,,,,Lolite,Orientation light,Product
3109795,LOLITE Round,Lolite Round 1x4W Sort,,,,,Lolite,Orientation light,Product
3109794,LOLITE Square,Lolite Square 1x4W Hvit,,,,,Lolite,Orientation light,Product
3109793,LOLITE Square,Lolite Square 1x4W Sort,,,,,Lolite,Orientation light,Product
3109502,MACRON Flat Bollard,Macron Flat Led 23W Pullert Grafitt,,,,,Macron,Inground and bollards,Product
3109500,MACRON Flat Bollard,Macron Flat LED 38W pullert Grafitt,,,,,Macron,Inground and bollards,Product
3109698,SONIC SPOT accessories,Masteklemme Sonic Medium 60-105mm Grafitt,,,,,Sonic,Spotlight and floodlight,Product
3109697,SONIC SPOT accessories,Masteklemme Sonic Medium 60mm Grafitt 9-0221,,,,,Sonic,Spotlight and floodlight,Product
3225582,MASTERCHEF,MasterChef 2x4W WarmDim Børstet Stål,,,,,MasterChef,Track lighting,Product
3225580,MASTERCHEF,MasterChef 2x4W WarmDim Matt Hvit,,,,,MasterChef,Track lighting,Product
3225583,MASTERCHEF,MasterChef 3x4W WarmDim Børstet Stål,,,,,MasterChef,Track lighting,Product
3225581,MASTERCHEF,MasterChef 3x4W WarmDim Matt Hvit,,,,,MasterChef,Track lighting,Product
3109631,MINI Buzz,Mini Buzz 1 13W Led Grafitt,,,,,Buzz,Inground and bollards,Product
3109596,Drift Flat Eyelid,Mini Flat DRIFT Eyelid LED 12W Grafitt,,,,,Flat,Ceiling- and wall luminaire,Product
3109597,Drift Flat Eyelid,Mini Flat DRIFT Eyelid LED 12W Hvit,,,,,Flat,Ceiling- and wall luminaire,Product
3109595,Drift Flat Eyelid,Mini Flat DRIFT Eyelid LED 12W Sølv,,,,,Flat,Ceiling- and wall luminaire,Product
3109441,Drift Flat,Mini Flat DRIFT LED 12W Grafitt,,,,,Flat,Ceiling- and wall luminaire,Product
3109442,Drift Flat,Mini Flat DRIFT LED 12W Hvit,,,,,Flat,Ceiling- and wall luminaire,Product
3109446,Drift Flat,Mini Flat DRIFT LED 12W Sensor Grafitt,,,,,Flat,Ceiling- and wall luminaire,Product
3109447,Drift Flat,Mini Flat DRIFT LED 12W Sensor Hvit,,,,,Flat,Ceiling- and wall luminaire,Product
3109445,Drift Flat,Mini Flat DRIFT LED 12W Sensor Sølv,,,,,Flat,Ceiling- and wall luminaire,Product
3109440,Drift Flat,Mini Flat DRIFT LED 12W Sølv,,,,,Flat,Ceiling- and wall luminaire,Product
3306756,MIR accessories,Mir Skjøt 10 cm (fleksibel),,,,,Mir,Track lighting accessories,Accessories
3306751,MIR,Mir T5 Dimmbar 240V 100 cm - 14W,,,,,Mir,Track lighting,Product
3306750,MIR,Mir T5 Dimmbar 240V 120 cm - 18W,,,,,Mir,Track lighting,Product
3306753,MIR,Mir T5 Dimmbar 240V 30 cm - 5W,,,,,Mir,Track lighting,Product
3306752,MIR,Mir T5 Dimmbar 240V 60 cm - 10W,,,,,Mir,Track lighting,Product
3306766,MIR accessories,MIR T5 koblingsboks,,,,,Mir,Track lighting accessories,Accessories
3306764,MIR accessories,MIR T5-L(L),,,,,Mir,Track lighting accessories,Accessories
3306765,MIR accessories,MIR T5-L(r),,,,,Mir,Track lighting accessories,Accessories
3306763,MIR accessories,MIR T5-T T stykke,,,,,Mir,Track lighting accessories,Accessories
3306757,MIR accessories,Mir Tilkoblingsledning 1 m,,,,,Mir,Track lighting accessories,Accessories
3306767,MIR accessories,Mir Tilkoblingsledning 30cm,,,,,Mir,Track lighting accessories,Accessories
3109705,NEOPLACE Pole,NeoPlace 28W 4000K Grafitt m/5 meter kabel,,,,,NeoPlace,Inground and bollards,Product
3105820,NEWTON Round Wall,Newton Round Wall 13W 3K Grafitt,,,,,Newton,Ceiling- and wall luminaire,Product
3105822,NEWTON Square Wall,Newton Square Wall 13W 3000K Grafitt,,,,,Newton,Ceiling- and wall luminaire,Product
3105836,NEWTON Round Bollard,NEWTON2 Round Pullert LED 13W 350mA 1010lm 3000K Grafitt,,,,,Newton,Inground and bollards,Product
3105832,NEWTON Round Bollard,NEWTON2 Round Pullert LED 13W Sølv,,,,,Newton,Inground and bollards,Product
3105838,NEWTON Square Bollard,NEWTON2 Square Pullert LED 13W 350mA 1010lm 3000K Grafitt,,,,,Newton,Inground and bollards,Product
3305891,NICE,Nice 10W Dim 2700K Hvit,,,,,Nice,Ceiling- and wall luminaire,Product
3305892,NICE,Nice 10W S Dim 2700K Hvit,,,,,Nice,Ceiling- and wall luminaire,Product
3305893,NICE,Nice 15W Dim 2700K Hvit,,,,,Nice,Ceiling- and wall luminaire,Product
3305894,NICE,Nice 15W S Dim 2700K Hvit,,,,,Nice,Ceiling- and wall luminaire,Product
3305896,NICE,Nice Eco 7W 3000K med stikk,,,,,Nice,Ceiling- and wall luminaire,Product
3305897,NICE,Nice Eco PIR 7W 3000K,,,,,Nice,Ceiling- and wall luminaire,Product
3306337,NOVODISC,NovoDisc L Dali Hvit,,L,Dali,-,NovoDisc,Ceiling- and wall luminaire,Product
3306335,NOVODISC,NovoDisc L Dim Hvit,,L,Dim,-,NovoDisc,Ceiling- and wall luminaire,Product
